,index,Year,Firm,ESG controversy score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,assets,roa,sg,lev,div,ind,country
0,0.0,2017,1&1 DRILLISCH,0.9519359145527369,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.9708029197080292,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.0009619814515736213,0.004091106259124997,0.07023635833090167,0.475193178615668,0.30517208846680804,0.24765568768620488,0.22463768115942032,0.0003478378133742057,0.4121785413153457,0.0017898047254646652,0.0001231527093596059,0.1033210332103321,142,DE
1,0.0009124087591240877,2017,3I GROUP,0.16466399643969734,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.9708029197080292,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.0,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.0029032127273646915,0.002449146136429821,0.02684563758389262,0.4825139763663414,0.32673742936593475,0.25803023365424427,0.7384057971014493,0.0005087052747052027,0.43615619730185495,0.000729274026261596,0.10554187192118226,0.08388683886838869,109,GB
2,0.0018248175182481751,2017,3I INFRASTRUCTURE,0.7507788161993769,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.9708029197080292,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.000806540584300753,0.0006470458737816442,0.023285672599941642,0.47520628657941133,0.3015238683061146,0.26679089061881356,0.44975845410628024,0.00014423840450689958,0.38856977234401346,0.0005912504125359821,0.06810344827586207,0.0974169741697417,109,GB
3,0.002737226277372263,2017,888 HOLDINGS,0.8712357217030113,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.9708029197080292,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.0003220056111367864,0.00033486642693508414,0.04309892033848848,0.4815964189043053,0.334217273317306,0.2475718463180556,0.4391304347826087,2.1911301845147602e-05,0.3727339797639123,0.00047705690543054023,0.0,0.10209102091020911,100,GB
4,0.0036496350364963502,2017,A2A,0.10117193294763387,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.0,0.0,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.0016723574834635985,0.0016082689553522536,0.023475342865480014,0.4748359866036611,0.301617038733937,0.24742275421336687,0.563768115942029,0.0007312185384302973,0.37410413153457,0.000530856554536768,0.5027093596059112,0.09594095940959409,169,IT
5,0.005474452554744526,2017,AALBERTS,0.8150126094051326,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.9708029197080292,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.0014549103591377152,0.0015724631654608888,0.03406769769477677,0.4764941440171977,0.3080090385909134,0.24719091311619787,0.4832125603864734,0.00021930156716932415,0.38422217537942666,0.00047428278996521485,0.26034482758620686,0.04108241082410824,213,NL
6,0.006386861313868613,2017,AAREAL BANK,0.8556593977154724,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.9708029197080292,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.0009031048478734398,0.0007542197537117473,0.01823752553253575,0.4745771043197295,0.2832861545400895,0.2496519740641772,0.764975845410628,0.0031694635383153966,0.365804173693086,0.00040124624181255063,0.44002463054187185,0.11340713407134072,102,DE
7,0.007299270072992701,2017,ABB LTD N,0.008455718736092566,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.0,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.020220201304321308,0.0188061344640407,0.03017216224102714,0.4766153926818239,0.306159998711232,0.24726605017651357,0.9667874396135265,0.0031020414887106638,0.3799272765598651,0.0004411753135921516,0.21834975369458126,0.08487084870848709,258,CH
8,0.009124087591240877,2017,ABERFORTH SMCOS.,0.7507788161993769,0.9691204852495175,0.9994341757827235,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.9708029197080292,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.0004363144989504712,0.00040894119342259344,0.025430405602567846,0.4738102884407422,0.32964352640005135,0.25733694022927944,0.3933574879227053,0.00010927599846737928,0.4155512225969646,0.0016855707476527686,0.0073891625615763535,0.05879458794587946,109,GB
9,0.01186131386861314,2017,ACACIA MINING DEAD - DELIST.17/09/19,0.18469069870939026,0.9691204852495175,0.0,0.9999999999999999,0.9864523121387284,0.9777158774373259,0.0,0.9954372623574144,0.9875047330556607,0.9847426470588235,0.9883282456455379,0.9843371247436136,0.0,0.0,0.0,0.971520053926525,0.0,0.9913594470046084,0.9916949792374481,0.9865453856357779,0.9676298463789318,0.0006429609174119561,0.0002677814663072545,0.022629121680770355,0.4736661008395651,0.31174459201268445,0.2487733976861296,0.5489130434782609,9.129139235694295e-05,0.2762700252951096,0.00032348005417802026,0.05357142857142856,0.022386223862238624,119,GB
